Screener Industry,Screener Industry URL,Sector,NSE Industry
2/3 Wheelers,https://www.screener.in/market/IN02/IN0201/IN020101/IN020101002/,Automobile and Auto Components,Automobiles
Abrasives & Bearings,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205016/,Capital Goods,Industrial Products
Advertising & Media Agencies,https://www.screener.in/market/IN02/IN0204/IN020401/IN020401001/,"Media, Entertainment & Publication",Media
Aerospace & Defense,https://www.screener.in/market/IN07/IN0702/IN070201/IN070201001/,Capital Goods,Aerospace & Defense
Aluminium,https://www.screener.in/market/IN01/IN0103/IN010302/IN010302001/,Metals & Mining,Non - Ferrous Metals
"Aluminium, Copper & Zinc Products",https://www.screener.in/market/IN07/IN0702/IN070205/IN070205014/,Capital Goods,Industrial Products
Amusement Parks/ Other Recreation,https://www.screener.in/market/IN02/IN0206/IN020601/IN020601003/,Consumer Services,Leisure Services
Animal Feed,https://www.screener.in/market/IN04/IN0401/IN040104/IN040104001/,Fast Moving Consumer Goods,Food Products
Asset Management Company,https://www.screener.in/market/IN05/IN0501/IN050103/IN050103001/,Financial Services,Capital Markets
Auto Components & Equipments,https://www.screener.in/market/IN02/IN0201/IN020102/IN020102001/,Automobile and Auto Components,Auto Components
Breweries & Distilleries,https://www.screener.in/market/IN04/IN0401/IN040102/IN040102001/,Fast Moving Consumer Goods,Beverages
Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),https://www.screener.in/market/IN09/IN0901/IN090104/IN090104005/,Services,Commercial Services & Supplies
Cables - Electricals,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205003/,Capital Goods,Industrial Products
Cigarettes & Tobacco Products,https://www.screener.in/market/IN04/IN0401/IN040103/IN040103001/,Fast Moving Consumer Goods,Cigarettes & Tobacco Products
Consulting Services,https://www.screener.in/market/IN09/IN0901/IN090104/IN090104002/,Services,Commercial Services & Supplies
E-Learning,https://www.screener.in/market/IN02/IN0206/IN020602/IN020602002/,Consumer Services,Other Consumer Services
"Film Production, Distribution & Exhibition",https://www.screener.in/market/IN02/IN0204/IN020402/IN020402001/,"Media, Entertainment & Publication",Entertainment
Footwear,https://www.screener.in/market/IN02/IN0202/IN020201/IN020201017/,Consumer Durables,Consumer Durables
General Insurance,https://www.screener.in/market/IN05/IN0501/IN050104/IN050104001/,Financial Services,Insurance
Household Appliances,https://www.screener.in/market/IN02/IN0202/IN020201/IN020201007/,Consumer Durables,Consumer Durables
LPG/CNG/PNG/LNG Supplier,https://www.screener.in/market/IN03/IN0301/IN030101/IN030101003/,"Oil, Gas & Consumable Fuels",Gas
Life Insurance,https://www.screener.in/market/IN05/IN0501/IN050104/IN050104002/,Financial Services,Insurance
Logistics Solution Provider,https://www.screener.in/market/IN09/IN0901/IN090102/IN090102002/,Services,Transport Services
Lubricants,https://www.screener.in/market/IN03/IN0301/IN030103/IN030103002/,"Oil, Gas & Consumable Fuels",Petroleum Products
Meat Products including Poultry,https://www.screener.in/market/IN04/IN0401/IN040104/IN040104006/,Fast Moving Consumer Goods,Food Products
Media & Entertainment,https://www.screener.in/market/IN02/IN0204/IN020402/IN020402003/,"Media, Entertainment & Publication",Entertainment
Medical Equipment & Supplies,https://www.screener.in/market/IN06/IN0601/IN060102/IN060102001/,Healthcare,Healthcare Equipment & Supplies
Microfinance Institutions,https://www.screener.in/market/IN05/IN0501/IN050101/IN050101007/,Financial Services,Finance
Non Banking Financial Company (NBFC),https://www.screener.in/market/IN05/IN0501/IN050101/IN050101004/,Financial Services,Finance
Offshore Support Solution Drilling,https://www.screener.in/market/IN03/IN0301/IN030102/IN030102002/,"Oil, Gas & Consumable Fuels",Oil
Oil Equipment & Services,https://www.screener.in/market/IN03/IN0301/IN030102/IN030102004/,"Oil, Gas & Consumable Fuels",Oil
Oil Exploration & Production,https://www.screener.in/market/IN03/IN0301/IN030102/IN030102001/,"Oil, Gas & Consumable Fuels",Oil
Other Agricultural Products,https://www.screener.in/market/IN04/IN0401/IN040101/IN040101004/,Fast Moving Consumer Goods,Agricultural Food & other Products
Other Bank,https://www.screener.in/market/IN05/IN0501/IN050102/IN050102003/,Financial Services,Banks
Other Construction Materials,https://www.screener.in/market/IN01/IN0102/IN010204/IN010204001/,Construction Materials,Other Construction Materials
Other Consumer Services,https://www.screener.in/market/IN02/IN0206/IN020602/IN020602004/,Consumer Services,Other Consumer Services
Other Industrial Products,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205012/,Capital Goods,Industrial Products
Passenger Cars & Utility Vehicles,https://www.screener.in/market/IN02/IN0201/IN020101/IN020101001/,Automobile and Auto Components,Automobiles
Plastic Products - Industrial,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205009/,Capital Goods,Industrial Products
Real Estate Investment Trusts (REITs),https://www.screener.in/market/IN02/IN0205/IN020501/IN020501003/,Realty,Realty
Rubber,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205011/,Capital Goods,Industrial Products
Sponge Iron,https://www.screener.in/market/IN01/IN0103/IN010301/IN010301003/,Metals & Mining,Ferrous Metals
Stationary,https://www.screener.in/market/IN04/IN0401/IN040106/IN040106004/,Fast Moving Consumer Goods,Household Products
Telecom - Infrastructure,https://www.screener.in/market/IN10/IN1001/IN100101/IN100101002/,Telecommunic ation,Telecom - Services
