level,name,symbol,parent,sector,market_cap_cr,pe,roce,error,stage,stage2_score,close,weekly_ma,weekly_ma_slope_4w_pct,rs_vs_benchmark,checks,rrg_quadrant,rrg_quadrant_5d_ago,rs_ratio,rs_momentum,rs_ratio_5d_delta,rs_momentum_5d_delta,moving_to_leading,improving_toward_leading,rrg_tail,stock_score
stock,Bajaj Auto,BAJAJ-AUTO.NS,2/3 Wheelers,Automobile and Auto Components,275109.72,25.5,28.24,,not_stage_2,3,9843.0,9659.48,1.68,0.40917,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,99.08,95.39,-0.64,-2.12,False,False,2026-06-19 ratio=99.72 momentum=97.51; 2026-06-22 ratio=99.88 momentum=97.53; 2026-06-23 ratio=99.73 momentum=97.34; 2026-06-24 ratio=98.88 momentum=95.74; 2026-06-25 ratio=99.08 momentum=95.39,63.36
stock,Eicher Motors,EICHERMOT.NS,2/3 Wheelers,Automobile and Auto Components,208563.22,37.52,30.52,,stage_2,5,7598.0,7268.38,0.84,0.31585,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,101.56,99.56,-0.52,-3.56,False,False,2026-06-19 ratio=102.08 momentum=103.12; 2026-06-22 ratio=101.95 momentum=102.34; 2026-06-23 ratio=101.97 momentum=100.15; 2026-06-24 ratio=101.56 momentum=98.85; 2026-06-25 ratio=101.56 momentum=99.56,134.48
stock,TVS Motor Co.,TVSMOTOR.NS,2/3 Wheelers,Automobile and Auto Components,169591.85,55.61,17.42,,not_stage_2,3,3569.7,3601.34,-0.1,0.14839,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,improving,100.56,103.6,1.26,3.39,True,False,2026-06-19 ratio=99.30 momentum=100.22; 2026-06-22 ratio=99.60 momentum=102.03; 2026-06-23 ratio=99.70 momentum=101.38; 2026-06-24 ratio=99.33 momentum=100.68; 2026-06-25 ratio=100.56 momentum=103.60,110.8
stock,Hero Motocorp,HEROMOTOCO.NS,2/3 Wheelers,Automobile and Auto Components,97967.5,16.79,35.76,,not_stage_2,1,4896.1,5378.22,-2.03,0.20353,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,improving,98.14,97.83,-0.83,-3.21,False,False,2026-06-19 ratio=98.97 momentum=101.04; 2026-06-22 ratio=98.92 momentum=101.09; 2026-06-23 ratio=99.38 momentum=101.39; 2026-06-24 ratio=98.18 momentum=97.23; 2026-06-25 ratio=98.14 momentum=97.83,20.0
stock,Ather Energy,ATHERENERG.NS,2/3 Wheelers,Automobile and Auto Components,38264.21,,-19.77,,stage_2,5,998.75,792.85,5.85,0.04152,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,100.7,97.16,0.28,-0.0,False,False,2026-06-19 ratio=100.42 momentum=97.16; 2026-06-22 ratio=100.16 momentum=97.59; 2026-06-23 ratio=101.05 momentum=98.28; 2026-06-24 ratio=100.61 momentum=97.11; 2026-06-25 ratio=100.70 momentum=97.16,140.2
stock,Ola Electric,OLAELEC.NS,2/3 Wheelers,Automobile and Auto Components,19346.75,,-19.56,,stage_2,4,41.8,34.71,0.27,0.00174,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': False}",weakening,weakening,100.49,95.82,-0.23,-2.04,False,False,2026-06-19 ratio=100.73 momentum=97.86; 2026-06-22 ratio=100.73 momentum=98.04; 2026-06-23 ratio=101.09 momentum=97.60; 2026-06-24 ratio=100.87 momentum=96.51; 2026-06-25 ratio=100.49 momentum=95.82,107.99
stock,Tunwal E-Motors,TUNWAL.NS,2/3 Wheelers,Automobile and Auto Components,156.92,12.33,13.28,,not_stage_2,0,27.2,31.76,-3.06,0.00113,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",improving,lagging,98.41,100.94,0.59,2.77,False,True,2026-06-19 ratio=97.82 momentum=98.17; 2026-06-22 ratio=98.07 momentum=98.83; 2026-06-23 ratio=98.39 momentum=99.96; 2026-06-24 ratio=98.33 momentum=101.01; 2026-06-25 ratio=98.41 momentum=100.94,4.7
stock,Delta Auto.,DELTIC.NS,2/3 Wheelers,Automobile and Auto Components,52.75,8.04,11.81,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
stock,Victory Ele.,VICTORYEV.NS,2/3 Wheelers,Automobile and Auto Components,40.47,7.83,40.91,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
stock,Timken India,TIMKEN.NS,Abrasives & Bearings,Capital Goods,27482.67,68.99,18.26,,stage_2,5,3653.7,3322.83,2.27,0.15188,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,100.47,99.62,-0.64,0.84,False,False,2026-06-19 ratio=101.11 momentum=98.78; 2026-06-22 ratio=101.60 momentum=100.25; 2026-06-23 ratio=101.97 momentum=101.48; 2026-06-24 ratio=101.53 momentum=100.64; 2026-06-25 ratio=100.47 momentum=99.62,131.89
