level,name,symbol,parent,sector,market_cap_cr,dividend_yield_pct,np_qtr_cr,qtr_profit_var_pct,sales_qtr_cr,qtr_sales_var_pct,pe,roce,error,stage,stage2_score,close,weekly_ma,weekly_ma_slope_4w_pct,rs_vs_benchmark,checks,rrg_quadrant,rrg_quadrant_5d_ago,rs_ratio,rs_momentum,rs_ratio_5d_delta,rs_momentum_5d_delta,moving_to_leading,improving_toward_leading,rrg_tail,stock_score
stock,Bajaj Auto,BAJAJ-AUTO.NS,2/3 Wheelers,Automobile and Auto Components,328404.94,1.29,3188.75,45.93,21688.83,65.14,27.86,28.24,,stage_2,5,11600.0,9972.13,2.59,0.47126,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.71,105.25,-0.2,3.49,False,False,2026-07-29 ratio=101.92 momentum=101.75; 2026-07-30 ratio=101.94 momentum=101.94; 2026-07-31 ratio=101.95 momentum=102.33; 2026-08-03 ratio=102.14 momentum=102.58; 2026-08-04 ratio=101.71 momentum=105.25,184.98
stock,Eicher Motors,EICHERMOT.NS,2/3 Wheelers,Automobile and Auto Components,219194.44,1.03,1462.51,21.35,6632.42,31.55,37.69,30.53,,stage_2,5,7935.0,7329.9,0.72,0.32237,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,101.42,99.42,0.02,-2.52,False,False,2026-07-29 ratio=101.39 momentum=101.93; 2026-07-30 ratio=101.87 momentum=103.28; 2026-07-31 ratio=101.36 momentum=101.76; 2026-08-03 ratio=101.78 momentum=103.60; 2026-08-04 ratio=101.42 momentum=99.42,133.54
stock,TVS Motor Co.,TVSMOTOR.NS,2/3 Wheelers,Automobile and Auto Components,209428.38,0.28,1057.61,67.11,16295.52,33.46,60.54,17.37,,stage_2,5,4360.0,3640.82,1.16,0.17713,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,102.61,99.75,-0.23,-1.84,False,False,2026-07-29 ratio=102.84 momentum=101.58; 2026-07-30 ratio=103.14 momentum=102.62; 2026-07-31 ratio=103.18 momentum=103.10; 2026-08-03 ratio=102.87 momentum=106.82; 2026-08-04 ratio=102.61 momentum=99.75,140.37
stock,Hero Motocorp,HEROMOTOCO.NS,2/3 Wheelers,Automobile and Auto Components,111789.59,3.33,1473.92,25.72,12978.28,30.18,19.46,35.22,,not_stage_2,4,5548.0,5218.96,-1.43,0.22539,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,103.22,103.25,1.82,1.16,False,False,2026-07-29 ratio=101.40 momentum=102.09; 2026-07-30 ratio=102.90 momentum=103.00; 2026-07-31 ratio=103.01 momentum=103.69; 2026-08-03 ratio=102.65 momentum=103.13; 2026-08-04 ratio=103.22 momentum=103.25,132.35
stock,Ather Energy,ATHERENERG.NS,2/3 Wheelers,Automobile and Auto Components,57143.73,0.0,-50.87,71.46,1216.92,88.79,,-19.77,,stage_2,5,1450.4,907.86,9.73,0.05892,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,weakening,102.49,101.18,1.27,4.52,True,False,2026-07-29 ratio=101.23 momentum=96.66; 2026-07-30 ratio=101.11 momentum=97.32; 2026-07-31 ratio=101.20 momentum=97.58; 2026-08-03 ratio=101.10 momentum=96.52; 2026-08-04 ratio=102.49 momentum=101.18,192.81
stock,Ola Electric,OLAELEC.NS,2/3 Wheelers,Automobile and Auto Components,17851.77,0.0,-500.0,42.53,265.0,-56.63,,-19.56,,not_stage_2,2,38.57,35.25,0.33,0.00157,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,lagging,98.82,96.01,-0.17,-1.25,False,False,2026-07-29 ratio=98.99 momentum=97.26; 2026-07-30 ratio=98.78 momentum=96.73; 2026-07-31 ratio=99.00 momentum=96.86; 2026-08-03 ratio=98.82 momentum=96.33; 2026-08-04 ratio=98.82 momentum=96.01,40.66
stock,Tunwal E-Motors,TUNWAL.NS,2/3 Wheelers,Automobile and Auto Components,150.0,0.38,4.23,-34.72,132.45,27.15,11.78,13.28,,not_stage_2,0,26.0,29.64,-3.67,0.00106,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,improving,98.82,98.45,-0.38,-3.79,False,False,2026-07-28 ratio=99.20 momentum=102.24; 2026-07-29 ratio=99.12 momentum=102.05; 2026-07-30 ratio=99.25 momentum=102.47; 2026-07-31 ratio=99.00 momentum=102.60; 2026-08-03 ratio=98.82 momentum=98.45,0.0
stock,Delta Auto.,DELTIC.NS,2/3 Wheelers,Automobile and Auto Components,53.82,0.0,3.1,-47.28,37.54,-28.28,8.2,11.81,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
stock,Victory Ele.,VICTORYEV.NS,2/3 Wheelers,Automobile and Auto Components,40.96,0.0,0.53,-86.91,15.27,-52.67,19.05,10.52,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
stock,Timken India,TIMKEN.NS,Abrasives & Bearings,Capital Goods,24324.69,0.08,154.79,-17.15,1073.14,14.19,61.06,18.26,,not_stage_2,2,3231.9,3359.03,0.63,0.1313,"{'price_above_30w_ma': False, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",improving,improving,98.99,104.27,0.55,2.44,False,True,2026-07-29 ratio=98.44 momentum=101.82; 2026-07-30 ratio=98.48 momentum=102.29; 2026-07-31 ratio=98.69 momentum=103.38; 2026-08-03 ratio=98.82 momentum=103.45; 2026-08-04 ratio=98.99 momentum=104.27,62.61
stock,Grindwell Norton,GRINDWELL.NS,Abrasives & Bearings,Capital Goods,23303.03,0.91,115.31,22.3,803.3,14.19,53.41,21.18,,stage_2,4,2094.5,1759.71,3.99,0.08509,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,leading,99.98,97.75,-0.67,-2.46,False,False,2026-07-29 ratio=100.66 momentum=100.21; 2026-07-30 ratio=100.39 momentum=92.52; 2026-07-31 ratio=100.50 momentum=100.05; 2026-08-03 ratio=99.78 momentum=96.42; 2026-08-04 ratio=99.98 momentum=97.75,112.98
stock,Carborundum Uni.,CARBORUNIV.NS,Abrasives & Bearings,Capital Goods,20507.82,0.37,-40.01,-17.82,1398.35,14.89,79.74,10.52,,not_stage_2,3,1078.5,950.91,3.25,0.04381,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,99.25,98.07,0.19,1.42,False,False,2026-07-29 ratio=99.06 momentum=96.66; 2026-07-30 ratio=98.94 momentum=96.25; 2026-07-31 ratio=99.15 momentum=99.94; 2026-08-03 ratio=99.43 momentum=98.84; 2026-08-04 ratio=99.25 momentum=98.07,66.5
stock,SKF India Indus.,SKFINDUS.NS,Abrasives & Bearings,Capital Goods,13767.25,0.36,118.97,-1.93,945.72,31.24,37.06,29.89,,stage_2,5,2771.9,2452.1,1.03,0.11261,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,100.38,97.68,0.13,0.68,False,False,2026-07-29 ratio=100.25 momentum=97.00; 2026-07-30 ratio=100.21 momentum=97.98; 2026-07-31 ratio=100.41 momentum=100.14; 2026-08-03 ratio=100.03 momentum=98.75; 2026-08-04 ratio=100.38 momentum=97.68,128.96
stock,SKF India,SKFINDIA.NS,Abrasives & Bearings,Capital Goods,7417.04,2.68,-20.23,-128.78,594.54,20.68,25.08,13.33,,not_stage_2,0,1493.3,1638.63,-2.52,0.06067,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",improving,improving,98.42,109.02,0.23,7.6,False,True,2026-07-29 ratio=98.18 momentum=101.43; 2026-07-30 ratio=98.15 momentum=102.04; 2026-07-31 ratio=98.28 momentum=104.04; 2026-08-03 ratio=98.39 momentum=103.44; 2026-08-04 ratio=98.42 momentum=109.02,45.1
stock,Wendt India,WENDT.NS,Abrasives & Bearings,Capital Goods,1615.73,0.37,6.18,63.49,71.28,36.63,95.32,7.82,,stage_2,5,8102.0,7168.1,0.29,0.32915,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,100.63,100.82,-0.71,0.08,False,False,2026-07-29 ratio=101.34 momentum=100.74; 2026-07-30 ratio=100.97 momentum=100.26; 2026-07-31 ratio=101.11 momentum=101.44; 2026-08-03 ratio=100.78 momentum=100.98; 2026-08-04 ratio=100.63 momentum=100.82,152.83
stock,SKP Bearing,SKP.NS,Abrasives & Bearings,Capital Goods,273.9,0.67,-0.95,,37.99,,311.25,11.38,,not_stage_2,3,158.0,157.76,-1.49,0.00642,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': False}",lagging,leading,99.46,99.98,-0.7,-2.17,False,False,2026-07-28 ratio=100.17 momentum=102.15; 2026-07-29 ratio=99.89 momentum=102.31; 2026-07-30 ratio=99.57 momentum=101.55; 2026-07-31 ratio=99.97 momentum=102.73; 2026-08-03 ratio=99.46 momentum=99.98,60.0
stock,NRB Indl Bearing,NIBL.NS,Abrasives & Bearings,Capital Goods,86.11,0.0,-6.74,3.16,20.58,27.75,,-18.17,,stage_2,5,35.35,31.04,1.67,0.00144,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,101.07,97.9,-1.44,-2.71,False,False,2026-07-29 ratio=102.51 momentum=100.60; 2026-07-30 ratio=101.62 momentum=96.56; 2026-07-31 ratio=100.63 momentum=96.86; 2026-08-03 ratio=100.90 momentum=97.78; 2026-08-04 ratio=101.07 momentum=97.90,133.69
stock,Signpost India,SIGNPOST.NS,Advertising & Media Agencies,"Media, Entertainment & Publication",1462.96,0.18,18.69,22.32,152.26,10.61,19.92,25.13,,not_stage_2,3,274.0,257.98,4.34,0.01113,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,weakening,99.13,97.61,-1.56,-0.12,False,False,2026-07-29 ratio=100.69 momentum=97.72; 2026-07-30 ratio=100.79 momentum=97.16; 2026-07-31 ratio=99.59 momentum=95.41; 2026-08-03 ratio=99.27 momentum=96.27; 2026-08-04 ratio=99.13 momentum=97.61,68.68
stock,R K Swamy,RKSWAMY.NS,Advertising & Media Agencies,"Media, Entertainment & Publication",516.07,1.96,15.94,29.28,100.88,20.8,21.19,12.26,,not_stage_2,2,101.93,97.43,-1.24,0.00414,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,weakening,99.18,98.78,-1.33,-1.07,False,False,2026-07-29 ratio=100.52 momentum=99.86; 2026-07-30 ratio=100.75 momentum=99.91; 2026-07-31 ratio=99.76 momentum=99.09; 2026-08-03 ratio=98.93 momentum=98.53; 2026-08-04 ratio=99.18 momentum=98.78,40.0
stock,Yaap Digital,YAAP.NS,Advertising & Media Agencies,"Media, Entertainment & Publication",320.07,0.0,19.0,84.08,135.66,28.14,17.34,30.86,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
stock,Vertoz,VERTOZ.NS,Advertising & Media Agencies,"Media, Entertainment & Publication",304.95,0.28,6.25,-2.33,73.69,13.06,11.7,14.16,,not_stage_2,0,35.78,44.72,-9.65,0.00145,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",improving,improving,98.75,104.47,0.1,2.92,False,True,2026-07-29 ratio=98.66 momentum=101.54; 2026-07-30 ratio=98.67 momentum=101.24; 2026-07-31 ratio=98.67 momentum=101.94; 2026-08-03 ratio=98.62 momentum=101.14; 2026-08-04 ratio=98.75 momentum=104.47,22.35
stock,Simca Advertis.,SIMCA.NS,Advertising & Media Agencies,"Media, Entertainment & Publication",270.2,0.0,9.04,1164.71,78.51,107.37,16.25,97.5,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
stock,Cash UR Drive,CUDML.NS,Advertising & Media Agencies,"Media, Entertainment & Publication",242.72,0.0,18.52,94.54,108.79,43.71,8.26,40.31,,insufficient_data,0,,,,,{},insufficient_data,insufficient_data,,,,,False,False,,0.0
stock,Pramara Promotio,PRAMARA.NS,Advertising & Media Agencies,"Media, Entertainment & Publication",168.72,0.0,3.91,5.96,59.27,6.49,16.8,14.95,,not_stage_2,0,126.45,265.81,-9.86,0.00514,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,improving,98.66,96.83,-0.77,-5.06,False,False,2026-07-28 ratio=99.43 momentum=101.89; 2026-07-29 ratio=99.28 momentum=97.69; 2026-07-30 ratio=99.32 momentum=98.37; 2026-07-31 ratio=99.09 momentum=97.24; 2026-08-03 ratio=98.66 momentum=96.83,0.0
