level,name,symbol,parent,nse_industry,member_count,source_url,error,stage,stage2_score,close,weekly_ma,weekly_ma_slope_4w_pct,rs_vs_benchmark,checks,rrg_quadrant,rrg_quadrant_5d_ago,rs_ratio,rs_momentum,rs_ratio_5d_delta,rs_momentum_5d_delta,moving_to_leading,improving_toward_leading,rrg_tail,just_entered_leading
industry,2/3 Wheelers,equal_weight_top_members,Automobile and Auto Components,Automobiles,9,https://www.screener.in/market/IN02/IN0201/IN020101/IN020101002/,,stage_2,5,153.31,134.78,2.08,0.00639,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,101.78,99.63,-0.42,-3.09,False,False,2026-07-20 ratio=102.20 momentum=102.72; 2026-07-21 ratio=102.34 momentum=102.53; 2026-07-22 ratio=102.37 momentum=99.57; 2026-07-23 ratio=102.31 momentum=100.06; 2026-07-27 ratio=101.78 momentum=99.63,False
industry,Abrasives & Bearings,equal_weight_top_members,Capital Goods,Industrial Products,8,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205016/,,stage_2,5,92.0,84.67,1.05,0.00383,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,lagging,100.75,102.33,1.09,3.33,True,False,2026-07-20 ratio=99.65 momentum=99.00; 2026-07-21 ratio=99.61 momentum=99.96; 2026-07-22 ratio=99.27 momentum=99.31; 2026-07-23 ratio=99.61 momentum=100.01; 2026-07-27 ratio=100.75 momentum=102.33,True
industry,Advertising & Media Agencies,equal_weight_top_members,"Media, Entertainment & Publication",Media,10,https://www.screener.in/market/IN02/IN0204/IN020401/IN020401001/,,not_stage_2,0,71.94,87.39,-4.15,0.003,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,improving,99.37,99.71,-0.11,-3.35,False,False,2026-07-20 ratio=99.48 momentum=103.06; 2026-07-21 ratio=99.32 momentum=101.76; 2026-07-22 ratio=99.11 momentum=98.72; 2026-07-23 ratio=99.27 momentum=99.03; 2026-07-27 ratio=99.37 momentum=99.71,False
industry,Aerospace & Defense,equal_weight_top_members,Capital Goods,Aerospace & Defense,10,https://www.screener.in/market/IN07/IN0702/IN070201/IN070201001/,,stage_2,5,178.97,131.86,8.17,0.00746,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,100.7,97.82,0.29,1.06,False,False,2026-07-20 ratio=100.40 momentum=96.75; 2026-07-21 ratio=100.39 momentum=97.86; 2026-07-22 ratio=100.64 momentum=98.79; 2026-07-23 ratio=100.38 momentum=97.48; 2026-07-27 ratio=100.70 momentum=97.82,False
industry,Aluminium,equal_weight_top_members,Metals & Mining,Non - Ferrous Metals,8,https://www.screener.in/market/IN01/IN0103/IN010302/IN010302001/,,not_stage_2,2,136.83,142.8,0.91,0.0057,"{'price_above_30w_ma': False, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",improving,improving,98.76,100.99,0.18,-1.02,False,False,2026-07-20 ratio=98.58 momentum=102.01; 2026-07-21 ratio=98.72 momentum=104.66; 2026-07-22 ratio=98.87 momentum=101.90; 2026-07-23 ratio=99.01 momentum=102.80; 2026-07-27 ratio=98.76 momentum=100.99,False
industry,"Aluminium, Copper & Zinc Products",equal_weight_top_members,Capital Goods,Industrial Products,10,https://www.screener.in/market/IN07/IN0702/IN070205/IN070205014/,,not_stage_2,3,125.87,116.83,2.25,0.00525,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",improving,improving,99.22,101.84,0.66,0.87,False,True,2026-07-20 ratio=98.56 momentum=100.97; 2026-07-21 ratio=98.55 momentum=103.98; 2026-07-22 ratio=99.16 momentum=104.71; 2026-07-23 ratio=99.22 momentum=101.75; 2026-07-27 ratio=99.22 momentum=101.84,False
industry,Amusement Parks/ Other Recreation,equal_weight_top_members,Consumer Services,Leisure Services,3,https://www.screener.in/market/IN02/IN0206/IN020601/IN020601003/,,not_stage_2,0,67.55,69.83,-1.11,0.00282,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': False}",lagging,lagging,98.45,98.81,-0.03,0.89,False,False,2026-07-20 ratio=98.48 momentum=97.92; 2026-07-21 ratio=98.71 momentum=99.77; 2026-07-22 ratio=99.04 momentum=102.39; 2026-07-23 ratio=98.83 momentum=99.93; 2026-07-27 ratio=98.45 momentum=98.81,False
industry,Animal Feed,equal_weight_top_members,Fast Moving Consumer Goods,Food Products,5,https://www.screener.in/market/IN04/IN0401/IN040104/IN040104001/,,not_stage_2,2,104.88,110.85,2.11,0.00437,"{'price_above_30w_ma': False, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",improving,improving,98.59,100.85,-1.36,-1.55,False,False,2026-07-20 ratio=99.94 momentum=102.40; 2026-07-21 ratio=99.41 momentum=101.86; 2026-07-22 ratio=99.25 momentum=101.94; 2026-07-23 ratio=98.99 momentum=101.33; 2026-07-27 ratio=98.59 momentum=100.85,False
industry,Asset Management Company,equal_weight_top_members,Financial Services,Capital Markets,8,https://www.screener.in/market/IN05/IN0501/IN050103/IN050103001/,,not_stage_2,3,111.47,107.81,1.53,0.00465,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': False, 'relative_strength_positive': False, 'near_52w_high': True}",lagging,lagging,98.61,97.59,-1.38,-0.19,False,False,2026-07-20 ratio=99.98 momentum=97.78; 2026-07-21 ratio=98.99 momentum=97.39; 2026-07-22 ratio=98.58 momentum=97.68; 2026-07-23 ratio=98.17 momentum=97.02; 2026-07-27 ratio=98.61 momentum=97.59,False
industry,Auto Components & Equipments,equal_weight_top_members,Automobile and Auto Components,Auto Components,10,https://www.screener.in/market/IN02/IN0201/IN020102/IN020102001/,,stage_2,5,122.6,109.79,1.75,0.00511,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.81,102.11,0.34,0.18,False,False,2026-07-20 ratio=101.46 momentum=101.93; 2026-07-21 ratio=101.78 momentum=103.76; 2026-07-22 ratio=101.92 momentum=101.74; 2026-07-23 ratio=101.81 momentum=100.80; 2026-07-27 ratio=101.81 momentum=102.11,False
