level,name,symbol,parent,error,stage,stage2_score,close,weekly_ma,weekly_ma_slope_4w_pct,rs_vs_benchmark,checks,rrg_quadrant,rrg_quadrant_5d_ago,rs_ratio,rs_momentum,rs_ratio_5d_delta,rs_momentum_5d_delta,moving_to_leading,improving_toward_leading,rrg_tail,is_candidate,sector_moving_to_leading
sector,Nifty PSU Bank,^CNXPSUBANK,,,stage_2,5,8716.5,8636.78,0.13,0.36299,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,100.87,103.3,0.3,0.51,False,False,2026-06-15 ratio=100.57 momentum=102.79; 2026-06-16 ratio=100.31 momentum=103.03; 2026-06-17 ratio=100.77 momentum=102.97; 2026-06-18 ratio=100.88 momentum=103.47; 2026-06-19 ratio=100.87 momentum=103.30,True,True
stock,Dr Reddy's Laboratories,DRREDDY.NS,Pharma Largecap,,stage_2,5,1350.5,1273.09,0.58,0.05614,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,lagging,101.16,101.0,1.6,2.73,True,False,2026-06-19 ratio=99.56 momentum=98.27; 2026-06-22 ratio=99.82 momentum=98.09; 2026-06-23 ratio=100.37 momentum=100.11; 2026-06-24 ratio=100.72 momentum=100.63; 2026-06-25 ratio=101.16 momentum=101.00,True,False
stock,State Bank of India,SBIN.NS,PSU Banks,,stage_2,5,1045.4,1042.88,0.64,0.04346,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,100.37,101.6,0.24,-3.23,False,False,2026-06-19 ratio=100.13 momentum=104.83; 2026-06-22 ratio=100.18 momentum=103.63; 2026-06-23 ratio=100.09 momentum=100.63; 2026-06-24 ratio=100.15 momentum=100.63; 2026-06-25 ratio=100.37 momentum=101.60,True,False
subsector,PSU Banks,SBIN.NS,Nifty PSU Bank,,stage_2,5,1045.4,1042.88,0.64,0.04346,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,100.37,101.6,0.24,-3.23,False,False,2026-06-19 ratio=100.13 momentum=104.83; 2026-06-22 ratio=100.18 momentum=103.63; 2026-06-23 ratio=100.09 momentum=100.63; 2026-06-24 ratio=100.15 momentum=100.63; 2026-06-25 ratio=100.37 momentum=101.60,True,False
sector,Nifty Pharma,^CNXPHARMA,,,stage_2,5,24969.5,23030.29,1.1,1.03797,"{'price_above_30w_ma': True, '30w_ma_rising': True, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,100.77,98.36,0.29,-0.02,False,False,2026-06-19 ratio=100.48 momentum=98.38; 2026-06-22 ratio=100.64 momentum=98.37; 2026-06-23 ratio=101.08 momentum=99.55; 2026-06-24 ratio=100.88 momentum=99.35; 2026-06-25 ratio=100.77 momentum=98.36,False,False
sector,Nifty Bank,^NSEBANK,,,not_stage_2,4,58177.05,57118.32,-0.46,2.4184,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,101.95,98.03,-0.12,-3.65,False,False,2026-06-19 ratio=102.07 momentum=101.68; 2026-06-22 ratio=101.98 momentum=101.14; 2026-06-23 ratio=101.79 momentum=97.02; 2026-06-24 ratio=102.11 momentum=98.80; 2026-06-25 ratio=101.95 momentum=98.03,False,False
sector,Nifty Realty,^CNXREALTY,,,not_stage_2,4,811.9,798.71,-2.47,0.03381,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.47,101.25,0.38,0.06,False,False,2026-06-15 ratio=101.09 momentum=101.19; 2026-06-16 ratio=101.68 momentum=101.90; 2026-06-17 ratio=101.42 momentum=101.69; 2026-06-18 ratio=101.60 momentum=101.75; 2026-06-19 ratio=101.47 momentum=101.25,False,True
sector,Nifty Media,^CNXMEDIA,,,not_stage_2,4,1515.4,1409.4,-0.09,0.06311,"{'price_above_30w_ma': True, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,weakening,101.44,96.37,0.2,-3.26,False,False,2026-06-15 ratio=101.25 momentum=99.62; 2026-06-16 ratio=101.43 momentum=100.28; 2026-06-17 ratio=101.25 momentum=100.16; 2026-06-18 ratio=101.27 momentum=98.93; 2026-06-19 ratio=101.44 momentum=96.37,False,False
sector,Nifty Financial Services,NIFTY_FIN_SERVICE.NS,,,not_stage_2,3,26431.15,26547.26,-0.83,1.1007,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",leading,leading,101.79,102.77,-0.41,0.31,False,False,2026-06-15 ratio=102.20 momentum=102.46; 2026-06-16 ratio=102.17 momentum=103.44; 2026-06-17 ratio=101.56 momentum=102.49; 2026-06-18 ratio=101.80 momentum=102.76; 2026-06-19 ratio=101.79 momentum=102.77,False,False
sector,Nifty Auto,^CNXAUTO,,,not_stage_2,3,26583.35,26751.27,-0.37,1.10704,"{'price_above_30w_ma': False, '30w_ma_rising': False, 'price_above_10w_ma': True, 'relative_strength_positive': True, 'near_52w_high': True}",weakening,leading,100.37,97.37,-1.41,-5.41,False,False,2026-06-15 ratio=101.78 momentum=102.78; 2026-06-16 ratio=101.21 momentum=100.17; 2026-06-17 ratio=100.57 momentum=97.69; 2026-06-18 ratio=100.38 momentum=97.51; 2026-06-19 ratio=100.37 momentum=97.37,False,False
